Season,Season_encoded,Team,Matches_Played,Home_Matches,Away_Matches,Wins,Draws,Losses,Home_Wins,Away_Wins,Points,Points_Per_Game,Goals_Scored,Goals_Conceded,Goal_Difference,Avg_Goals_Scored,Avg_Goals_Conceded,Total_Shots,Total_Shots_On_Target,Avg_Shots,Avg_Shots_On_Target,Shot_Accuracy,Clean_Sheets,Clean_Sheet_Rate,Yellow_Cards,Red_Cards,Fouls,Corners,Avg_Corners,Win_Rate,Home_Win_Rate,Away_Win_Rate,Final_Position,Team_encoded
2002-03,2,Fulham,38,19,19,13,9,16,11,2,48,1.263157894736842,41,50,-9,1.0789473684210527,1.3157894736842106,364.0,182.0,9.578947368421053,4.7894736842105265,50.0,11,0.2894736842105263,56.0,6.0,486.0,203.0,5.342105263157895,0.34210526315789475,0.5789473684210527,0.10526315789473684,14,18
2002-03,2,Leeds,38,19,19,14,5,19,7,7,47,1.236842105263158,58,57,1,1.5263157894736843,1.5,413.0,210.0,10.868421052631579,5.526315789473684,50.847457627118644,10,0.2631578947368421,71.0,2.0,547.0,179.0,4.7105263157894735,0.3684210526315789,0.3684210526315789,0.3684210526315789,15,22
2002-03,2,Aston Villa,38,19,19,12,9,17,11,1,45,1.1842105263157894,42,47,-5,1.105263157894737,1.236842105263158,482.0,233.0,12.68421052631579,6.131578947368421,48.3402489626556,9,0.23684210526315788,64.0,4.0,514.0,240.0,6.315789473684211,0.3157894736842105,0.5789473684210527,0.05263157894736842,16,1
2002-03,2,Bolton,38,19,19,10,14,14,7,3,44,1.1578947368421053,41,51,-10,1.0789473684210527,1.3421052631578947,423.0,211.0,11.131578947368421,5.552631578947368,49.881796690307326,10,0.2631578947368421,68.0,4.0,421.0,196.0,5.157894736842105,0.2631578947368421,0.3684210526315789,0.15789473684210525,17,5
2002-03,2,West Ham,38,19,19,10,12,16,5,5,42,1.105263157894737,42,59,-17,1.105263157894737,1.5526315789473684,394.0,193.0,10.368421052631579,5.078947368421052,48.984771573604064,9,0.23684210526315788,64.0,5.0,480.0,210.0,5.526315789473684,0.2631578947368421,0.2631578947368421,0.2631578947368421,18,43
2002-03,2,West Brom,38,19,19,6,8,24,3,3,26,0.6842105263157895,29,65,-36,0.7631578947368421,1.7105263157894737,375.0,187.0,9.868421052631579,4.921052631578948,49.86666666666667,6,0.15789473684210525,53.0,4.0,510.0,174.0,4.578947368421052,0.15789473684210525,0.15789473684210525,0.15789473684210525,19,42
2002-03,2,Sunderland,38,19,19,4,7,27,3,1,19,0.5,21,65,-44,0.5526315789473685,1.7105263157894737,324.0,163.0,8.526315789473685,4.2894736842105265,50.308641975308646,6,0.15789473684210525,60.0,1.0,530.0,216.0,5.684210526315789,0.10526315789473684,0.15789473684210525,0.05263157894736842,20,38
2003-04,3,Arsenal,38,19,19,26,12,0,15,11,90,2.3684210526315788,73,26,47,1.9210526315789473,0.6842105263157895,471.0,273.0,12.394736842105264,7.184210526315789,57.961783439490446,15,0.39473684210526316,52.0,3.0,499.0,202.0,5.315789473684211,0.6842105263157895,0.7894736842105263,0.5789473684210527,1,0
2003-04,3,Chelsea,38,19,19,24,7,7,12,12,79,2.0789473684210527,67,30,37,1.763157894736842,0.7894736842105263,481.0,244.0,12.657894736842104,6.421052631578948,50.72765072765073,21,0.5526315789473685,45.0,3.0,442.0,228.0,6.0,0.631578947368421,0.631578947368421,0.631578947368421,2,13
2003-04,3,Man United,38,19,19,23,6,9,12,11,75,1.9736842105263157,64,35,29,1.6842105263157894,0.9210526315789473,494.0,284.0,13.0,7.473684210526316,57.48987854251012,14,0.3684210526315789,43.0,3.0,429.0,215.0,5.657894736842105,0.6052631578947368,0.631578947368421,0.5789473684210527,3,27
2003-04,3,Liverpool,38,19,19,16,12,10,10,6,60,1.5789473684210527,55,37,18,1.4473684210526316,0.9736842105263158,558.0,300.0,14.68421052631579,7.894736842105263,53.76344086021505,15,0.39473684210526316,47.0,1.0,453.0,260.0,6.842105263157895,0.42105263157894735,0.5263157894736842,0.3157894736842105,4,24
2003-04,3,Newcastle,38,19,19,13,17,8,11,2,56,1.4736842105263157,52,40,12,1.368421052631579,1.0526315789473684,448.0,262.0,11.789473684210526,6.894736842105263,58.48214285714286,11,0.2894736842105263,46.0,3.0,486.0,237.0,6.2368421052631575,0.34210526315789475,0.5789473684210527,0.10526315789473684,5,29
2003-04,3,Aston Villa,38,19,19,15,11,12,9,6,56,1.4736842105263157,48,44,4,1.263157894736842,1.1578947368421053,445.0,230.0,11.710526315789474,6.052631578947368,51.68539325842697,12,0.3157894736842105,52.0,3.0,552.0,248.0,6.526315789473684,0.39473684210526316,0.47368421052631576,0.3157894736842105,6,1
